7.885739,-2.402868
8.394727,-2.421038
8.893109,-2.457343
9.39349,-2.475495
9.910976,-2.493647
17.66295,-2.112523
18.13619,-1.785844
18.60897,-1.459165
19.01076,-1.168784
19.50454,-0.9147002
19.98017,-0.6424679
27.63724,-0.6969143
27.99419,-0.3702356
28.36928,-0.06170559
28.86656,0.3194196
29.26139,0.6279497
29.69253,0.8638842
30.17932,0.9909258
37.66537,1.263158
38.18387,1.08167
38.67256,0.9727771
39.09191,0.6642471
39.38826,0.192378
39.69786,-0.2431937
39.90427,-0.6969143
46.78763,-1.277677
47.29223,-1.277677
47.81716,-1.313974
48.36136,-1.332123
48.88736,-1.350272
52.73066,-0.823956
53.26318,-0.5880214
53.72312,-0.3339379
54.1452,-0.02540791
56.37387,0.4283125
56.87566,0.3738661
57.41575,0.3557174
59.96822,0.4101638
60.55604,0.3920148
64.16048,0.2468244
64.71726,0.2286754
65.28785,0.2105267
